freq_paiement;langue;type_prof;alimentation;type_territoire;utilisation;presence_alarme;marque_voiture;sexe;cout1;cout2;cout3;cout4;nbsin;exposition;cout;age;duree_permis
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;;;;;0;0,997260274;;47;29
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;;;;;0;0,997260274;;47;29
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;887,3229814;299,7329193;;;2;0,690410959;1187,06;32;12
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;;;;;0;0,304109589;;32;12
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;;;;;0;0,997260274;;35;15
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;;;;;0;0,997260274;;36;16
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;;;;;0;0,717808219;;37;17
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;RENAULT;M;;;;;0;0,035616438;;38;18
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;RENAULT;M;;;;;0;1;;38;18
mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,58630137;;40;20
mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,410958904;;41;21
mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,997260274;;41;21
mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,997260274;;43;23
mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,997260274;;45;25
mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,334246575;;46;26
mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,463013699;;47;27
mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,194520548;;47;27
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;;;;;0;0,495890411;;44;11
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;;;;;0;0,498630137;;44;11
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;;;;;0;0,443835616;;45;12
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;;;;;0;0,504109589;;46;13
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;135,4037267;;;;1;0,490410959;135,4;46;13
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;;;;;0;0,997260274;;48;15
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;153,9689441;;;;1;0,704109589;153,97;49;16
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;;;;;0;0,290410959;;49;16
mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,054794521;;37;17
mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,939726027;;37;17
mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,263013699;;38;18
mensuel;F;Informaticien;Végétalien;Semi-urbain;Travail-occasionnel;oui;HONDA;M;;;;;0;0,57260274;;30;10
mensuel;A;Informaticien;Végétalien;Urbain;Loisir;oui;NISSAN;M;;;;;0;0,632876712;;27;5
mensuel;A;Informaticien;Végétalien;Urbain;Loisir;oui;NISSAN;M;;;;;0;0,361643836;;27;5
mensuel;A;Informaticien;Végétalien;Urbain;Loisir;oui;NISSAN;M;;;;;0;0,997260274;;29;7
mensuel;A;Informaticien;Végétarien;Urbain;Travail-occasionnel;oui;NISSAN;M;;;;;0;0,997260274;;31;9
mensuel;A;Informaticien;Végétarien;Urbain;Travail-occasionnel;oui;NISSAN;M;;;;;0;0,087671233;;32;10
mensuel;A;Informaticien;Végétarien;Urbain;Travail-occasionnel;oui;RENAULT;M;;;;;0;0,591780822;;32;10
mensuel;A;Informaticien;Végétarien;Urbain;Travail-occasionnel;oui;RENAULT;M;;;;;0;0,315068493;;32;10
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;SEAT;M;;;;;0;0,997260274;;59;27
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;SEAT;M;;;;;0;0,997260274;;60;28
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;SEAT;M;;;;;0;1;;61;29
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;SEAT;M;;;;;0;0,997260274;;63;31
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;SEAT;M;;;;;0;0,309589041;;64;32
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;FORD;M;;;;;0;0,684931507;;64;32
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;FORD;M;;;;;0;1;;65;33
mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;589,2298137;;;;1;1;589,23;61;45
mensuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;;;;;0;0,997260274;;62;46
mensuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;;;;;0;0,997260274;;63;47
mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;;;;;0;0,997260274;;64;48
mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;;;;;0;1;;65;49
mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;;;;;0;0,997260274;;66;50
mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;;;;;0;0,997260274;;67;51
mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;;;;;0;0,997260274;;68;52
mensuel;A;Hockeyeur;Carnivore;Urbain;Travail-quotidien;oui;RENAULT;F;;;;;0;0,21369863;;39;15
mensuel;F;Infirmière;Végétalien;Semi-urbain;Travail-occasionnel;oui;PEUGEOT;F;102,3913043;;;;1;0,997260274;102,39;23;3
mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;non;GM;F;;;;;0;0,073972603;;25;5
mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;non;GM;F;;;;;0;0,279452055;;26;6
mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;oui;FORD;F;;;;;0;0,098630137;;26;6
mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;oui;FORD;F;;;;;0;0,997260274;;27;7
mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;oui;FORD;F;;;;;0;0,219178082;;28;8
mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;non;PEUGEOT;F;;;;;0;0,180821918;;28;8
mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;non;PEUGEOT;F;;;;;0;0,997260274;;29;9
mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;non;PEUGEOT;F;;;;;0;0,997260274;;30;10
mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;non;PEUGEOT;F;;;;;0;0,997260274;;31;11
mensuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;non;HONDA;M;1135,875776;;;;1;0,512328767;1135,88;39;15
mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;SEAT;M;;;;;0;0,221917808;;36;17
mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;SEAT;M;;;;;0;0,997260274;;37;18
mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;SEAT;M;354,6397516;;;;1;0,997260274;354,64;38;19
mensuel;F;Technicien;Végétarien;Urbain;Travail-occasionnel;non;SEAT;M;;;;;0;0,997260274;;39;20
mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;SEAT;M;;;;;0;0,980821918;;40;21
mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;SEAT;M;369,2049689;;;;1;0,016438356;369,21;41;22
mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;SEAT;M;;;;;0;0,997260274;;41;22
mensuel;F;Technicien;Végétarien;Urbain;Travail-occasionnel;non;SEAT;M;;;;;0;0,997260274;;43;24
mensuel;F;Technicien;Végétarien;Urbain;Travail-occasionnel;non;SEAT;M;;;;;0;0,997260274;;44;25
annuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;NISSAN;M;;;;;0;1;;66;31
annuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;NISSAN;M;;;;;0;0,997260274;;68;33
annuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;NISSAN;M;;;;;0;1;;69;34
annuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;NISSAN;M;;;;;0;0,997260274;;71;36
annuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;NISSAN;M;;;;;0;0,997260274;;72;37
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;NISSAN;M;;;;;0;1;;73;38
mensuel;A;Avocat;Carnivore;Urbain;Travail-occasionnel;oui;PEUGEOT;F;;;;;0;0,142465753;;48;25
mensuel;F;Informaticien;Végétarien;Semi-urbain;Loisir;non;SAAB;M;;;;;0;1;;43;25
mensuel;F;Informaticien;Carnivore;Semi-urbain;Loisir;non;SAAB;M;;;;;0;0,997260274;;44;26
mensuel;F;Informaticien;Carnivore;Semi-urbain;Loisir;non;SAAB;M;199,2049689;215,757764;;;2;0,569863014;414,96;45;27
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;BMW;M;;;;;0;0,994520548;;32;14
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;BMW;M;2694,217391;;;;1;0,531506849;2694,22;33;15
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;VOLVO;M;;;;;0;0,463013699;;34;16
mensuel;F;Avocat;Végétarien;Semi-urbain;Travail-occasionnel;oui;GM;F;698,8447205;;;;1;0,947945205;698,84;50;27
mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;oui;RENAULT;M;;;;;0;1;;35;15
mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;oui;RENAULT;M;;;;;0;0,997260274;;36;16
mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;oui;RENAULT;M;;;;;0;0,684931507;;37;17
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;RENAULT;M;;;;;0;0,997260274;;38;18
mensuel;A;Autre;Carnivore;Urbain;Travail-occasionnel;oui;HONDA;M;;;;;0;1;;34;15
mensuel;A;Autre;Carnivore;Urbain;Travail-occasionnel;non;FORD;M;;;;;0;0,676712329;;36;17
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;;;;;0;0,997260274;;62;21
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;;;;;0;0,997260274;;64;23
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;;;;;0;1;;65;24
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;;;;;0;0,997260274;;66;25
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;;;;;0;0,997260274;;67;26
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;;;;;0;0,463013699;;68;27
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;F;;;;;0;0,265753425;;70;27
mensuel;F;Technicien;Végétarien;Semi-urbain;Loisir;non;AUDI;M;;;;;0;0,435616438;;49;30
mensuel;F;Technicien;Végétarien;Semi-urbain;Loisir;non;AUDI;M;;;;;0;0,55890411;;49;30
mensuel;F;Technicien;Carnivore;Semi-urbain;Loisir;non;AUDI;M;;;;;0;1;;50;31
mensuel;F;Technicien;Carnivore;Semi-urbain;Loisir;non;AUDI;M;;;;;0;0,410958904;;52;33
mensuel;F;Technicien;Carnivore;Semi-urbain;Loisir;non;BMW;M;;;;;0;0,583561644;;52;33
mensuel;F;Technicien;Carnivore;Semi-urbain;Loisir;non;BMW;M;;;;;0;0,997260274;;53;34
mensuel;F;Technicien;Carnivore;Semi-urbain;Loisir;non;BMW;M;;;;;0;1;;54;35
mensuel;F;Technicien;Carnivore;Semi-urbain;Loisir;non;BMW;M;;;;;0;0,997260274;;55;36
mensuel;F;Technicien;Carnivore;Semi-urbain;Loisir;non;BMW;M;;;;;0;0,997260274;;57;38
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;GM;F;872,9068323;;;;1;0,997260274;872,91;34;14
annuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;non;GM;F;;;;;0;0,810958904;;35;15
annuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;oui;LANCIA;F;;;;;0;0,008219178;;36;16
annuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;non;LANCIA;F;;;;;0;0,17260274;;36;16
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;LANCIA;F;;;;;0;0,997260274;;36;16
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;LANCIA;F;;;;;0;0,997260274;;39;19
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;LANCIA;F;;;;;0;0,997260274;;40;20
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;MAZDA;M;;;;;0;0,997260274;;68;29
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;MAZDA;M;;;;;0;0,175342466;;69;30
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;MAZDA;M;;;;;0;0,819178082;;69;30
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;MAZDA;M;;;;;0;0,997260274;;70;31
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;MAZDA;M;1038,503106;;;;1;0,520547945;1038,5;72;33
annuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;MAZDA;M;;;;;0;0,997260274;;74;35
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;1;;31;10
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,997260274;;32;11
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,997260274;;33;12
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,065753425;;35;14
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,931506849;;35;14
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,232876712;;36;15
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;HONDA;M;;;;;0;0,997260274;;37;16
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;HONDA;M;;;;;0;1;;39;18
annuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,268493151;;31;12
annuel;A;Infirmière;Végétalien;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;1;;38;15
annuel;A;Infirmière;Végétarien;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,145205479;;39;16
annuel;A;Infirmière;Végétarien;Urbain;Travail-occasionnel;non;VOLKSWAGEN;M;;;;;0;0,849315068;;39;16
annuel;A;Infirmière;Végétarien;Urbain;Travail-occasionnel;non;VOLKSWAGEN;M;125,7204969;;;;1;0,997260274;125,72;41;18
annuel;A;Infirmière;Végétalien;Urbain;Travail-occasionnel;non;VOLKSWAGEN;M;;;;;0;0,997260274;;43;20
annuel;A;Infirmière;Végétarien;Urbain;Travail-occasionnel;non;VOLKSWAGEN;M;;;;;0;0,997260274;;45;22
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;HONDA;F;;;;;0;0,997260274;;46;28
annuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;oui;MAZDA;F;;;;;0;1;;36;15
annuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;oui;MAZDA;F;;;;;0;0,997260274;;38;17
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;MAZDA;F;;;;;0;0,02739726;;39;18
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;MAZDA;F;;;;;0;1;;40;19
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;MAZDA;F;;;;;0;0,95890411;;41;20
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;MAZDA;F;4288,602484;;;;1;0,997260274;4288,6;43;22
mensuel;F;Actuaire;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,660273973;;32;11
mensuel;F;Hockeyeur;Carnivore;Urbain;Travail-occasionnel;non;NISSAN;F;354,5031056;;;;1;1;354,5;34;15
